"",Name,Code,Normal Loan Period,Holdable,Bookable,Home Pickup,Shippable,Ship Time,Time Remaining B4 Renew,First Renewal Period,Additional Renewal Period,Max Number Of Renewals,Max Number Of Auto Renewals,Minimum Use,Eligib To Recall,Time Return Recall,Time To Pickup,Max Number Of Odues,Time First Odue,Time Second Odue,Time Third Odue,Time Fourth Odue,Time Fifth Odue,Time Sixth Odue,Text First Odue,Text Second Odue,Text Third Odue,Text Fourth Odue,Text Fifth Odue,Odue Penalty,Text First OdueR,Text Second OdueR,Text Third OdueR,Text Fourth OdueR,Text Fifth OdueR,Courtesy Notice Text Number,Number Of Days Before Odue,Additional Courtesy Notice,Additional Courtesy Notice Text,Time 1ST Odue Recall,Text Recall Notice,Text Pickup Notice,Text Cancel Pickup,Grace Period For Fines,Number Of D/HR 1st F Per,Amount Of Fine 1st F Per,Number Of D/HR 2nd F Per,Amount Of Fine 2ND F Per,Limit Fine To Price,Default Item Cost,Replace Process Fee,Replace Bll Service Charge,Rental Fee,Fine Incr If Recall,Msg Fines,Msg Bill,Msg Adjustment,Rental Circtext,Penalty Incr If Recall,Editable By
81,gun 30d no fine,R,30,y,n,n,n,0,0,0,0,0,0,30,999,999,8,3,10,10,25,0,0,0,81,81,84,0,0,0,11,11,11,0,0,83,3,0,0,0,0,82,0,0,0,$0.00,0,$0.00,n,$25.00,$0.00,$5.00,$0.00,$0.00,0,84,0,0,0,ALL
82,tel non circ,N,1,n,n,n,n,0,0,0,0,0,0,0,0,0,0,4,14,7,14,25,0,0,1,1,1,180,0,0,10,10,10,10,0,0,0,0,0,0,0,6,238,2,365,$0.10,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,3,3,0,0,ALL
83,tel 3d .10 fine,R,3,y,n,n,n,0,4,3,3,2,2,3,999,999,8,4,14,7,14,25,0,0,178,178,179,180,0,0,10,10,10,10,0,0,0,0,0,0,0,181,238,2,365,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,180,4,0,0,ALL
84,tel 21d .10 f,R,21,y,n,n,n,0,22,21,0,1,1,21,999,999,8,4,14,7,14,25,0,0,178,178,178,180,0,0,10,10,10,10,0,42,3,0,0,0,0,181,238,2,365,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,180,3,0,0,ALL
85,gcp 7d N$,R,7,y,n,n,n,0,8,7,7,1,1,7,999,999,8,3,14,31,15,0,0,0,70,80,71,0,0,0,10,10,10,0,0,67,3,0,0,0,0,112,8,0,0,$0.00,0,$0.00,n,$30.00,$0.00,$0.00,$0.00,$0.00,0,71,0,0,0,ALL
86,DCL 35 NR NH N$,R,35,n,n,n,n,0,0,0,0,0,0,35,999,999,8,2,14,7,0,0,0,0,221,223,0,0,0,0,0,0,0,0,0,225,2,0,0,0,0,224,8,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,223,0,0,0,ALL
87,mpc 30d N$,R,30,y,n,n,n,0,0,30,0,2,2,30,999,999,8,3,7,7,16,0,0,0,205,206,207,0,0,0,11,11,11,0,0,72,2,0,0,0,11,61,183,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,207,4,0,0,ALL
88,ssb 14d .10/f $5 pf,R,14,y,n,n,n,0,11,14,14,255,0,14,999,999,8,3,7,7,14,0,0,0,13,13,14,0,0,0,11,11,11,0,0,64,3,0,0,0,11,58,8,0,30,$0.10,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,12,14,14,0,0,ALL
89,DCL 14 H NR .20/d,R,14,n,n,n,n,0,0,0,0,0,0,14,999,999,8,3,14,7,0,0,0,0,221,223,0,0,0,0,0,0,0,0,0,225,3,0,0,0,0,224,8,0,50,$0.20,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,223,0,0,0,ALL
90,AI 3H R N$,I,3,n,n,n,n,0,0,0,0,0,0,0,0,0,8,6,7,7,7,7,7,7,235,235,235,235,235,0,10,10,10,0,0,236,3,0,0,0,0,234,237,0,0,$0.00,0,$0.00,n,$0.00,$10.00,$0.00,$0.00,$0.00,0,235,0,0,0,ALL
91,cms 1d,R,1,y,n,n,n,0,1,1,0,1,0,1,999,999,8,2,1,13,0,0,0,0,245,245,0,0,0,0,11,11,11,0,0,244,3,0,0,0,0,247,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,246,0,0,0,ALL
92,AI 21d R H N$,R,21,y,n,n,n,0,21,21,0,1,0,21,0,0,8,5,7,7,7,7,7,7,235,235,235,235,235,0,11,11,11,0,0,236,3,0,0,0,0,234,237,0,0,$0.00,0,$0.00,n,$15.00,$0.00,$0.00,$0.00,$0.00,0,235,235,0,0,ALL
93,cms 7d,R,7,y,n,n,n,0,3,7,7,2,0,7,999,999,8,2,1,13,0,0,0,0,245,245,0,0,0,0,11,11,11,0,0,244,3,0,0,0,0,247,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,246,0,0,0,ALL
94,cms 28d,R,28,y,n,n,n,0,29,28,28,2,0,28,999,999,8,2,1,13,0,0,0,0,245,245,0,0,0,0,11,11,11,0,0,244,3,0,0,0,0,247,8,0,0,$0.00,0,$0.00,n,$35.00,$0.00,$0.00,$0.00,$0.00,4,246,0,0,0,ALL
95,cms 38d,R,38,y,n,n,n,0,29,28,0,1,0,38,999,999,8,2,1,13,0,0,0,0,245,245,0,0,0,0,11,11,11,0,0,244,3,0,0,0,0,247,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,246,0,0,0,ALL
96,cmg 1d,R,1,n,n,n,n,0,0,0,0,0,0,1,999,999,0,1,1,0,0,0,0,0,174,0,0,0,0,0,10,10,10,0,0,176,0,0,0,0,0,177,0,0,0,$0.00,0,$0.00,n,$0.00,$10.00,$0.00,$0.00,$0.00,0,175,0,0,0,ALL
97,cmg 7d,R,7,y,n,n,n,0,0,0,0,0,0,0,999,999,8,2,5,5,0,0,0,0,174,174,0,0,0,0,11,11,10,0,0,176,0,0,0,0,0,177,0,0,0,$0.00,0,$0.00,n,$0.00,$10.00,$0.00,$0.00,$0.00,0,175,0,0,0,ALL
98,cmg 14d,R,14,y,n,n,n,0,15,14,14,2,0,14,999,999,8,3,7,7,14,0,0,0,174,174,174,0,0,0,11,11,11,0,0,176,3,0,0,0,0,177,8,0,0,$0.00,0,$0.00,n,$0.00,$10.00,$0.00,$0.00,$0.00,0,175,0,0,0,ALL
99,bas 21d NH NR $1d,R,21,n,n,n,n,0,0,0,0,0,0,0,999,999,0,2,30,45,0,0,0,0,15,88,0,0,0,0,10,10,10,0,0,252,3,0,0,0,0,0,0,0,150,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,88,0,0,0,ALL
100,cmg 28d,R,28,y,n,n,n,0,29,28,28,2,0,28,999,999,8,3,7,7,14,0,0,0,174,174,174,0,0,0,11,11,11,0,0,176,3,0,0,0,0,177,8,0,0,$0.00,0,$0.00,n,$0.00,$10.00,$0.00,$0.00,$0.00,0,175,0,0,0,ALL
101,cmg 35d,R,35,y,n,n,n,0,22,14,0,1,0,35,999,999,8,2,7,7,0,0,0,0,174,174,0,0,0,0,11,11,11,0,0,176,3,0,0,0,0,177,8,0,0,$0.00,0,$0.00,n,$0.00,$10.00,$0.00,$0.00,$0.00,0,175,0,0,0,ALL
102,cml 1d,R,1,y,n,n,n,0,0,0,0,0,0,1,999,999,8,4,3,14,20,30,0,0,2,2,2,4,0,0,11,11,11,11,0,0,0,0,0,0,0,6,8,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,4,0,0,0,ALL
103,cml 7d,R,7,y,n,n,n,0,3,7,8,3,0,7,999,999,8,3,3,10,20,0,0,0,2,2,2,4,0,0,11,11,11,11,0,57,3,0,0,0,0,6,0,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,4,0,0,0,ALL
104,cml 14d,R,14,y,n,n,n,0,15,14,14,2,0,14,999,999,8,4,3,14,20,30,0,0,2,2,2,4,0,0,11,11,11,11,0,57,3,0,0,0,0,6,8,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,4,0,0,0,ALL
105,cml 28d,R,28,y,n,n,n,0,29,28,28,3,0,28,999,999,8,4,3,14,20,30,0,0,2,2,2,4,0,0,10,10,10,0,0,57,3,0,0,0,0,6,0,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,4,0,0,0,ALL
106,cml 35d,R,35,y,n,n,n,0,36,35,35,2,0,35,999,999,8,4,3,14,20,30,0,0,2,2,2,4,0,0,10,10,10,0,0,57,3,0,0,0,0,6,0,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,4,0,0,0,ALL
107,AI 90d NH R N$,R,90,y,n,n,n,0,90,90,0,1,0,90,0,0,8,5,7,7,7,7,7,7,235,235,235,235,235,0,10,10,10,0,0,236,3,0,0,0,0,234,237,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$5.00,$0.00,$0.00,0,235,0,0,0,ALL
108,AI 90d NH R N$,R,90,n,n,n,n,0,90,90,0,1,0,90,0,0,8,5,7,7,7,7,7,7,235,235,235,235,235,0,10,10,10,0,0,236,3,0,0,0,0,234,237,3,0,$0.00,0,$0.00,n,$0.00,$0.00,$5.00,$0.00,$0.00,0,235,0,0,0,ALL
109,asc 21d $5 fine,R,21,y,n,n,n,0,22,21,21,3,0,21,999,999,8,2,7,14,0,0,0,0,55,18,0,0,0,0,10,10,10,0,0,169,3,0,0,0,0,6,8,21,1,$5.00,0,$0.00,n,$0.00,$0.00,$5.00,$0.00,$0.00,0,18,0,0,0,ALL
110,asc sem $5 fine,R,150,y,n,n,n,0,999,150,150,0,0,150,999,999,8,2,7,14,0,0,0,0,55,18,0,0,0,0,10,10,10,0,0,169,3,0,0,0,0,6,8,21,1,$5.00,0,$0.00,n,$0.00,$0.00,$5.00,$0.00,$0.00,0,18,0,0,0,ALL
111,asc 56d no fine,R,56,y,n,n,n,0,0,0,0,0,0,56,999,999,8,2,1,21,0,0,0,0,105,106,0,0,0,0,10,10,10,0,0,169,3,0,0,0,0,6,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$4.99,$0.00,$0.00,0,3,0,0,0,ALL
112,asc 168d no fine,R,168,n,n,n,n,0,0,0,0,0,0,168,999,999,8,1,1,0,0,0,0,0,55,0,0,0,0,0,10,10,10,0,0,169,3,0,0,0,0,6,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,3,0,0,0,ALL
113,DCL 21 NH NR $1/d,R,21,n,n,n,n,0,0,0,0,0,0,21,0,0,8,3,14,7,0,0,0,0,221,223,0,0,0,0,0,0,0,0,0,225,3,0,0,0,0,224,0,0,10,$1.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,223,0,0,0,ALL
114,bas 7d no fine,R,7,y,n,n,n,0,3,7,7,1,0,7,999,999,8,2,30,45,0,0,0,0,15,88,0,0,0,0,10,10,10,0,0,252,3,0,0,0,0,102,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,88,0,0,0,ALL
115,bas 14d NF,R,14,y,n,n,n,0,4,14,0,1,0,14,999,999,8,2,30,45,0,0,0,0,15,88,0,0,0,0,10,10,10,0,0,252,3,0,0,0,0,102,0,0,999,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,88,0,0,0,ALL
116,DCL 28 H R .20/d,R,28,y,n,n,n,0,21,21,21,2,0,21,999,999,8,3,14,7,0,0,0,0,221,223,0,0,0,0,0,0,0,0,0,225,3,0,0,0,0,224,0,0,50,$0.20,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,223,0,0,0,ALL
117,bas 21d .10 f,R,21,y,n,n,n,0,14,21,0,1,0,21,999,999,8,2,30,45,0,0,0,0,15,88,0,0,0,0,10,10,10,0,0,252,3,0,0,0,0,102,0,0,500,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,88,0,0,0,ALL
118,bas 14d temp not,R,14,y,n,n,n,0,15,14,0,1,0,14,999,999,8,2,30,45,0,0,0,0,15,88,0,0,0,0,10,10,10,0,0,252,3,0,0,0,0,102,0,0,998,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,88,0,0,0,ALL
119,bas 28d .25f,R,28,n,n,n,n,0,28,28,0,1,0,21,999,999,8,2,30,45,0,0,0,0,15,88,0,0,0,0,10,10,10,0,0,252,3,0,0,0,0,102,0,0,500,$0.00,0,$0.00,n,$25.00,$0.00,$0.00,$0.00,$0.00,1,88,0,0,0,ALL
120,AI 21 2R NH N$,R,21,n,n,n,n,0,21,21,21,2,0,21,0,0,8,5,7,7,7,7,7,7,235,235,235,235,235,0,10,10,10,0,0,236,3,0,0,0,0,234,237,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$10.00,$0.00,$0.00,0,235,235,0,0,ALL
121,bas 90d no fine,R,90,y,n,n,n,0,91,90,90,999,0,90,999,999,8,2,30,45,0,0,0,0,15,88,0,0,0,0,10,10,10,0,0,252,3,0,0,0,0,102,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,88,0,0,0,ALL
122,tel 7d.10f no holds,R,7,n,n,n,n,0,8,7,0,1,1,7,999,999,8,4,14,7,14,25,0,0,178,178,178,180,0,0,10,10,10,0,0,42,3,0,0,0,0,181,238,2,365,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,180,3,0,0,ALL
123,mvs 7d H NR N$,R,7,y,n,n,n,0,0,0,0,0,0,7,999,999,8,4,5,10,15,1,0,0,186,186,4,4,0,0,11,11,11,11,11,57,2,0,0,0,11,5,8,5,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,4,4,0,0,ALL
124,AI ILL,R,45,n,n,n,n,0,45,45,45,4,0,45,0,0,8,5,7,7,7,7,7,7,235,235,235,235,235,0,10,10,10,0,0,236,3,0,0,0,10,234,237,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,235,0,0,0,ALL
125,gun 3d .10 $10 deflt,R,3,y,n,n,n,0,4,3,3,3,0,3,999,999,8,3,6,7,7,0,0,0,81,81,84,0,0,0,10,10,10,0,0,0,0,0,0,0,10,82,0,0,100,$0.10,0,$0.00,n,$10.00,$0.00,$5.00,$0.00,$0.00,12,84,0,0,0,ALL
126,AI Semester,A,129,n,n,n,n,0,0,0,0,0,0,21,999,999,8,3,14,11,3,0,0,0,235,235,235,0,0,0,10,10,10,0,0,236,3,0,0,0,10,234,237,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$6.00,$0.00,$0.00,0,235,235,0,0,ALL
127,Marmot HP Test,R,21,y,n,y,n,0,22,21,21,1,0,21,999,999,8,3,14,11,3,0,0,0,2,19,4,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$4.00,$0.00,$0.00,0,4,4,0,0,ALL
128,Not In Use,R,21,y,n,n,n,0,0,0,0,0,0,21,999,999,8,3,14,25,28,0,0,0,2,15,4,0,0,0,10,10,10,0,0,0,0,0,0,0,10,0,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,4,4,0,0,ALL
129,"bas 7d .25 fine ",R,7,n,n,n,n,0,0,0,0,0,0,7,999,999,8,2,30,45,0,0,0,0,15,88,0,0,0,0,10,10,10,0,0,0,0,0,0,0,10,102,0,0,500,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,88,3,0,0,ALL
130,Not In Use,R,21,y,n,n,n,0,0,0,0,0,0,21,999,0,8,3,14,11,3,0,0,0,1,19,3,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,0,2,80,$0.05,0,$0.00,n,$0.00,$0.00,$6.00,$0.00,$0.00,12,3,3,0,0,ALL
131,Not In Use,R,21,y,n,n,n,0,22,21,21,1,0,21,999,999,8,3,14,11,3,0,0,0,1,19,3,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,0,2,40,$0.10,0,$0.00,n,$0.00,$0.00,$4.00,$0.00,$0.00,12,3,3,0,0,ALL
132,Not In Use,R,21,y,n,n,n,0,0,0,0,0,0,21,999,999,8,3,14,11,3,0,0,0,1,19,3,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,0,2,40,$0.10,0,$0.00,n,$0.00,$0.00,$4.00,$0.00,$0.00,12,3,3,0,0,ALL
133,Not In Use,R,21,y,n,n,n,0,0,0,0,0,0,21,999,999,8,3,14,11,3,0,0,0,1,19,3,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,0,2,40,$0.10,0,$0.00,n,$0.00,$0.00,$4.00,$0.00,$0.00,12,3,3,0,0,ALL
134,Not In Use,R,21,y,n,n,n,0,0,0,0,0,0,21,999,999,8,3,14,25,28,0,0,0,1,19,3,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,8,2,16,$0.25,0,$0.00,n,$0.00,$0.00,$4.00,$0.00,$0.00,12,3,3,0,0,ALL
135,Not In Use,R,90,y,n,n,n,0,0,0,0,0,0,90,999,999,8,3,1,1,3,0,0,0,1,1,3,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,0,2,40,$0.10,0,$0.00,n,$0.00,$0.00,$4.00,$0.00,$0.00,12,3,3,0,0,ALL
136,Not In Use,R,90,y,n,n,n,0,0,0,0,0,0,90,999,999,8,3,14,11,3,0,0,0,1,19,3,0,0,0,10,10,10,0,0,0,0,0,0,0,10,6,0,2,40,$0.10,0,$0.00,n,$0.00,$0.00,$4.00,$0.00,$0.00,12,3,3,0,0,ALL
137,Not In Use,N,33,n,n,n,n,0,0,0,0,0,0,0,999,999,0,3,3,7,14,0,0,0,1,1,3,0,0,0,10,10,10,0,0,0,0,0,0,0,0,6,0,5,20,$0.10,0,$0.00,n,$0.00,$1.00,$0.00,$0.00,$0.00,0,3,0,0,0,ALL
138,Not In Use,N,1,n,n,n,n,0,0,0,0,0,0,0,999,999,0,2,3,10,0,0,0,0,2,4,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,6,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,4,0,0,0,ALL
139,GOL 7d H R NF,R,7,y,y,n,n,0,7,7,7,2,0,7,999,999,8,3,2,2,0,0,0,0,231,4,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,229,8,0,50,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,2,0,0,0,ALL
140,Not In Use,R,14,y,n,n,n,0,14,14,14,2,0,14,999,999,8,1,7,0,0,0,0,0,2,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,5,8,0,0,$0.00,0,$0.00,n,$0.00,$50.00,$0.00,$0.00,$0.00,0,2,0,0,0,ALL
141,msc 24h .50 fi,J,24,n,n,n,n,0,0,0,0,0,0,24,999,999,0,3,2,22,76,0,0,0,1,1,3,0,0,0,10,10,10,0,0,0,0,0,0,0,0,132,59,0,100,$0.50,0,$0.00,n,$100.00,$20.00,$0.00,$0.00,$0.00,0,3,0,0,0,ALL
142,Not In Use,N,1,n,n,n,n,0,0,0,0,0,0,0,999,999,0,3,7,14,19,0,0,0,2,2,4,0,0,0,11,11,11,0,0,65,3,0,0,0,0,132,59,0,0,$0.00,0,$0.00,n,$100.00,$20.00,$0.00,$0.00,$0.00,0,4,0,0,0,ALL
143,tel 3d no fines,R,3,y,n,n,n,0,4,3,3,2,2,3,999,999,8,4,14,7,14,25,0,0,178,178,179,180,0,0,10,10,10,10,0,0,0,0,0,0,0,181,238,2,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,180,3,0,0,ALL
144,tel 30d no fines,R,30,y,n,n,n,0,31,30,30,2,2,30,999,999,8,4,14,7,14,25,0,0,178,178,179,180,0,0,10,10,10,10,0,42,3,0,0,0,0,181,238,2,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,180,0,0,0,ALL
145,tel 45d no fines,R,45,y,n,n,n,0,46,45,45,2,2,45,999,999,8,4,14,7,14,25,0,0,178,178,178,180,0,0,10,10,10,0,0,42,3,0,0,0,0,181,238,2,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,180,0,0,0,ALL
146,tel 7d no fines,R,7,y,n,n,n,0,7,7,7,2,2,7,999,999,8,4,14,7,14,25,0,0,178,178,179,180,0,0,10,10,10,10,0,42,3,0,0,0,0,181,238,2,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,180,0,0,0,ALL
147,"tel 14d no f, no ren",R,14,y,n,n,n,0,15,0,0,0,0,14,999,999,8,4,14,7,14,25,0,0,178,178,179,180,0,0,10,10,10,10,0,42,3,0,0,0,0,181,238,2,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,180,0,0,0,ALL
148,tel 21d no fines,R,21,y,n,n,n,0,22,21,0,1,1,21,999,999,8,4,14,7,14,25,0,0,178,178,178,180,0,0,10,10,10,10,0,42,3,0,0,0,0,181,238,2,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,180,0,0,0,ALL
149,tel 7d .10 fines,R,7,y,n,n,n,0,8,7,0,1,1,7,999,999,8,4,14,7,14,25,0,0,178,178,178,180,0,0,10,10,10,10,0,42,3,0,0,0,0,181,238,2,365,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,180,0,0,0,ALL
150,"ss 30d no f, no r",R,30,y,n,n,n,0,27,30,0,1,0,30,999,999,8,2,14,16,0,0,0,0,214,214,0,0,0,0,11,11,11,0,0,64,3,0,0,0,0,58,8,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,214,0,0,0,ALL
151,ss 30d no fines,R,30,y,n,n,n,0,11,14,14,255,0,30,999,999,8,2,7,23,0,0,0,0,214,214,0,0,0,0,11,11,11,0,0,64,3,0,0,0,0,58,8,0,0,$0.00,0,$0.00,n,$0.00,$3.00,$0.00,$0.00,$0.00,0,214,0,0,0,ALL
152,ss 30d .25f,R,30,y,n,n,n,0,11,14,14,255,0,30,999,999,8,5,7,14,14,14,11,0,13,13,13,13,13,0,11,11,11,0,0,64,3,0,0,0,0,58,8,1,12,$0.25,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,13,0,0,0,ALL
153,Not In Use,R,30,y,n,n,n,0,11,14,14,1,0,30,999,999,8,2,7,23,0,0,0,0,13,13,0,0,0,0,11,11,11,0,0,64,3,0,0,0,0,58,8,1,12,$0.25,0,$0.00,n,$0.00,$3.00,$0.00,$0.00,$0.00,0,14,0,0,0,ALL
154,Not In Use,R,90,n,n,n,n,0,87,90,90,999,0,90,999,999,8,2,7,23,0,0,0,0,13,13,0,0,0,0,11,11,11,0,0,64,3,0,0,0,0,58,8,0,0,$0.00,0,$0.00,n,$0.00,$3.00,$0.00,$0.00,$0.00,0,13,0,0,0,ALL
155,ss 180 no fines,R,180,y,n,n,n,0,0,0,0,0,0,180,999,999,8,5,7,14,14,14,11,0,13,13,13,13,13,0,11,11,11,0,0,0,0,0,0,0,0,0,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,0,13,0,0,0,ALL
156,"ss 1d no fines, no r",R,1,n,n,n,n,0,0,0,0,0,0,1,999,999,0,5,7,14,14,14,11,0,13,13,13,13,13,0,11,11,0,0,0,0,0,0,0,0,0,0,8,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,13,0,0,0,ALL
157,ss 7d 1.00f,R,7,y,n,n,n,0,3,7,7,255,0,7,999,999,8,2,7,23,0,0,0,0,13,13,0,0,0,0,11,11,0,0,0,64,3,0,0,0,0,58,8,1,12,$0.25,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,14,0,0,0,ALL
158,ss 7d .10f,R,7,y,n,n,n,0,3,7,7,255,0,7,999,999,8,2,7,23,0,0,0,0,13,13,0,0,0,0,11,11,0,0,0,64,3,0,0,0,0,58,8,1,30,$0.10,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,14,0,0,0,ALL
159,ss 14d .25f no r,R,14,n,n,n,n,0,0,0,0,0,0,14,999,999,8,5,7,14,14,14,11,0,13,13,13,13,13,0,11,11,0,0,0,64,3,0,0,0,0,58,8,1,12,$0.25,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,13,0,0,0,ALL
160,ss 14d .10f no r,R,14,n,n,n,n,0,0,0,0,0,0,14,999,999,8,5,7,14,14,14,11,0,13,13,13,13,13,0,11,11,11,0,0,64,3,0,0,0,0,58,8,1,30,$0.10,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,13,0,0,0,ALL
161,ss 7d no fines,R,7,y,n,n,n,0,3,7,7,255,0,1,999,999,8,2,7,23,0,0,0,0,13,13,0,0,0,0,11,11,11,0,0,64,3,0,0,0,0,58,8,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,14,0,0,0,ALL
162,ss 21d no f no ren,R,21,n,n,n,n,0,0,0,0,0,0,21,999,999,8,2,7,23,0,0,0,0,13,13,0,0,0,0,11,11,11,0,0,64,3,0,0,0,0,58,0,0,0,$0.00,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,13,0,0,0,ALL
163,Not In Use,R,21,y,n,n,n,0,18,21,21,999,0,21,999,999,8,2,7,23,0,0,0,0,13,13,0,0,0,0,11,11,11,0,0,64,3,0,0,0,0,58,8,1,12,$0.25,0,$0.00,n,$0.00,$3.00,$0.00,$0.00,$0.00,0,14,0,0,0,ALL
164,ss 21d .25 fine,R,21,y,n,n,n,0,18,21,21,255,0,21,999,999,8,5,7,14,14,14,11,0,13,13,13,13,13,0,11,11,11,0,0,64,3,0,0,0,0,58,8,1,12,$0.25,0,$0.00,n,$0.00,$5.00,$0.00,$0.00,$0.00,0,13,0,0,0,ALL
165,msc 48h .50 fine,J,48,n,n,n,n,0,0,0,0,0,0,48,999,999,0,3,2,22,76,0,0,0,1,1,3,0,0,0,10,10,10,0,0,0,0,0,0,0,0,132,59,0,100,$0.50,0,$0.00,n,$100.00,$0.00,$20.00,$0.00,$0.00,0,3,0,0,0,ALL
166,msc 7d no fine,R,7,y,n,n,n,0,6,7,7,2,0,7,999,999,8,3,7,14,19,0,0,0,1,1,3,0,0,0,10,10,10,0,0,0,0,0,0,0,0,132,59,0,0,$0.00,0,$0.00,n,$100.00,$0.00,$20.00,$0.00,$0.00,0,4,0,0,0,ALL
167,msc 365d no fin,R,365,y,n,n,n,0,21,21,365,2,0,365,0,999,8,3,7,14,19,0,0,0,2,2,4,0,0,0,11,11,11,0,0,65,3,0,0,0,0,132,59,0,0,$0.00,0,$0.00,n,$100.00,$0.00,$20.00,$0.00,$0.00,0,4,0,0,0,ALL
168,Not In Use,N,5,y,n,n,n,0,0,0,0,0,0,0,999,999,8,3,7,14,19,0,0,0,2,2,4,0,0,0,11,11,11,0,0,65,3,0,0,0,0,132,59,0,0,$0.00,0,$0.00,n,$100.00,$0.00,$20.00,$0.00,$0.00,0,4,0,0,0,ALL
