"",Location,Patron Type,Item Type,Age Range,Rule Number,Active,Editable By
107,bedwj,"1-5,10,13,17-21",9999,,7,Y,ALL
108,bedwj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
109,bgdwj,"1-5,10,13,17-21",9999,,7,Y,ALL
110,bgdwj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
111,bbfcy,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
112,bbfcy,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
113,bnfcy,"1-3,5,10,13,17-21",9999,,66,Y,ALL
114,bnfcy,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,6,Y,ALL
115,befcy,"1-3,5,10,13,17-21",9999,,6,Y,ALL
116,befcy,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
117,bgfcy,"1-3,5,10,13,17-21",9999,,6,Y,ALL
118,bgfcy,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
119,bmfcy,"1-3,5,10,13,17-21",9999,,6,Y,ALL
120,bmfcy,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
121,"bnej ","1-5,10,13,17-21","0-1,10-11,19",,7,Y,ADMIN
122,"bnej ","34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137","0-1,10-11,19",,67,Y,ADMIN
123,"bnej ","1-3,5,6,10,13,17-21,34-43,45-46,67-69,71-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137","3,8",,4,Y,ADMIN
124,"bnej ","1-3,5,6,10,13,17-21",9,,2,Y,ADMIN
125,"bnej ","34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9,,65,Y,ADMIN
126,"bmej ","1-5,10,13,17-21","0-1,10-11,19",,7,Y,ADMIN
127,"bmej ","34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137","0-1,10-11,19",,67,Y,ADMIN
128,"bmej ","1-3,5,6,10,13,17-21,34-43,45-46,67-69,71-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137","3,8",,4,Y,ADMIN
