"",Name,Code,Normal Loan Period,Holdable,Bookable,Home Pickup,Shippable,Ship Time,Time Remaining B4 Renew,First Renewal Period,Additional Renewal Period,Max Number Of Renewals,Max Number Of Auto Renewals,Minimum Use,Eligib To Recall,Time Return Recall,Time To Pickup,Max Number Of Odues,Time First Odue,Time Second Odue,Time Third Odue,Time Fourth Odue,Time Fifth Odue,Time Sixth Odue,Text First Odue,Text Second Odue,Text Third Odue,Text Fourth Odue,Text Fifth Odue,Odue Penalty,Text First OdueR,Text Second OdueR,Text Third OdueR,Text Fourth OdueR,Text Fifth OdueR,Courtesy Notice Text Number,Number Of Days Before Odue,Additional Courtesy Notice,Additional Courtesy Notice Text,Time 1ST Odue Recall,Text Recall Notice,Text Pickup Notice,Text Cancel Pickup,Grace Period For Fines,Number Of D/HR 1st F Per,Amount Of Fine 1st F Per,Number Of D/HR 2nd F Per,Amount Of Fine 2ND F Per,Limit Fine To Price,Default Item Cost,Replace Process Fee,Replace Bll Service Charge,Rental Fee,Fine Incr If Recall,Msg Fines,Msg Bill,Msg Adjustment,Rental Circtext,Penalty Incr If Recall,Editable By
59,mde 21d 1h 0r 0f 50m,R,21,y,n,y,n,0,0,0,0,0,0,21,999,0,7,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,100,$0.00,0,$0.00,n,$50.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
60,mde bindery,R,180,n,n,n,n,0,90,90,90,2,2,90,999,0,0,3,7,7,16,0,0,0,21,22,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,0,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
61,mde other,R,60,y,n,n,n,0,60,60,60,2,2,60,999,0,5,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
62,md deletions,R,60,n,n,n,n,0,60,60,60,2,2,60,999,0,0,3,7,7,16,0,0,0,21,22,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,41,0,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
63,bpl lucky day juv,R,21,n,n,n,n,0,0,0,0,0,0,21,999,0,0,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,0,$0.00,0,$0.00,n,$15.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
64,bpl staff v/dvd,R,7,y,n,n,n,0,7,7,7,3,3,7,999,0,7,3,7,7,28,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
65,b vid/dvds FLC,R,7,y,n,n,n,0,7,7,7,3,3,7,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,50,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
66,b 21 days FLC,R,21,y,n,n,n,0,21,21,21,3,3,21,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,25,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
67,b 21 days juv FLC,R,21,y,n,n,n,0,21,21,21,3,3,21,999,0,7,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,44,0,1,0,$0.00,0,$0.00,n,$15.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
68,lsv/bpl 7 days,R,7,y,n,n,y,3,7,7,7,2,2,7,999,0,7,3,7,7,16,0,0,0,11,12,13,0,0,0,0,0,0,0,0,40,3,0,0,0,0,41,0,0,0,$0.00,0,$0.00,n,$20.00,$6.00,$0.00,$0.00,$0.00,20,13,15,0,0,ALL
